longName,address,city,region,postalCode,lat,lng
Newark Liberty Airport (EWR)B3 Connector,Newark Liberty Intl Aprt Trm 3,Newark,NJ,07114,40.6927604675293,-74.18506622314453
Jersey City,125 18th St,Jersey City,NJ,07310,40.73188,-74.03814
West Paterson,30 Andrews Dr,Woodland Park,NJ,07424,40.88746,-74.21298
Riverdale,48 State Rt 23,Riverdale,NJ,07457,40.99215,-74.31216
Paramus - Fashion Center,Route 17 N,Paramus,NJ,07652,40.96613,-74.07558
Bergen Town Center,2400 Bergen Town Ctr,Paramus,NJ,07652,40.91318,-74.05287
Eatontown,50 State Route 36,Eatontown,NJ,07724,40.2896,-74.04857
Manalapan,15 US Highway 9,Manalapan,NJ,07726,40.28863,-74.29731
Holmdel,2130 State Route 35,Holmdel,NJ,07733,40.41039,-74.14365
Rockaway,345 Mount Hope Ave,Rockaway,NJ,07866,40.90354,-74.55018
East Hanover,410 State Route 10,East Hanover,NJ,07936,40.80272,-74.36048
Cherry Hill,2130 Route 70 W,Cherry Hill,NJ,08002,39.92327,-75.03603
Manahawkin,215 Stafford Park Blvd,Manahawkin,NJ,08050,39.70953,-74.28473
Mount Laurel,1420 Nixon Dr,Mount Laurel,NJ,08054,39.94044,-74.95822
Deptford,1851 Deptford Center Rd,Deptford,NJ,08096,39.82794,-75.09283
Atlantic City Airport (ACY) Across Gate 6,101 Atlantic City Intl Airport,Egg Harbor Township,NJ,08234,39.40839,-74.543076
Mays Landing,100 Consumer Sq,Mays Landing,NJ,08330,39.45413,-74.63011
Vineland,3849 S Delsea Dr,Vineland,NJ,08360,39.43007,-75.03932
Tropicana Casino,2831 Boardwalk,Atlantic City,NJ,08401,39.35306,-74.444879
Ceasars Casino,2100 Pacific Ave,Atlantic City,NJ,08401,39.356966,-74.436027
Harrah's Casino,777 Harrahs Blvd,Atlantic City,NJ,08401,39.3840229511261,-74.42669682204723
Bally's Casino,1900 Pacific Ave,Atlantic City,NJ,08401,39.357292,-74.433624
Princeton,251 Nassau Park Blvd,Princeton,NJ,08540,40.30301,-74.67942
Brick,51 Chambersbridge Rd,Brick,NJ,08723,40.06095,-74.13855
Bridgewater,300 Commons Way,Bridgewater,NJ,08807,40.59094,-74.62142
East Brunswick,300 State Route 18,East Brunswick,NJ,08816,40.45593,-74.39452
Woodbridge,675 US Highway 1 S,Iselin,NJ,08830,40.55978,-74.30771
NEW YORK SALE EVENT,300 Ridge Rd,Piscataway,NJ,08854,40.3723,-74.4853
Phillipsburg,1202 New Brunswick Ave,Phillipsburg,NJ,08865,40.67463,-75.13525
Union Square,52 E 14th St,New York,NY,10003,40.73419,-73.99015
