index,address,city,region,postalcode,lat,lng
157,JFK Intl Airport Terminal 5,Jamaica,NY,11430,40.64364597,-73.79009195
158,10 N Service Rd,Jamaica,NY,11430,40.79787366,-73.50369036
159,660 Sunrise Hwy,Baldwin,NY,11510,40.65588,-73.61252
160,6 West Circle Dr,Valley Stream,NY,11581,40.664,-73.72411
161,1100 Old Country Rd,Westbury,NY,11590,40.74432,-73.60206
162,1851 Sunrise Hwy,Bay Shore,NY,11706,40.74104,-73.23717
163,261 Pond Path,South Setauket,NY,11720,40.88422,-73.09929
164,3124 Jericho Tpke,East Northport,NY,11731,40.83832,-73.31902
165,148 Walt Whitman Rd,Huntington Station,NY,11746,40.82548,-73.41137
166,3601 Hempstead Tpke,Levittown,NY,11756,40.72741,-73.50096
167,499 N Service Rd,Patchogue,NY,11772,40.7775,-73.03648
168,1440 Old Country Rd,Riverhead,NY,11901,40.92756,-72.69209
169,1 Crossgates Mall Rd,Albany,NY,12203,42.68998,-73.85028
170,1300 Ulster Ave,Kingston,NY,12401,41.96785,-73.98543
171,2001 South Rd,Poughkeepsie,NY,12601,41.62445,-73.92017
172,3062 Route 50,Saratoga Springs,NY,12866,43.10595,-73.74177
173,60 Smithfield Blvd,Plattsburgh,NY,12901,44.70297,-73.49246
174,9090 Destiny USA Dr,Syracuse,NY,13204,43.07071,-76.17363
175,3401 Erie Blvd E,Dewitt,NY,13214,43.04749,-76.06743
176,4725 Commercial Dr,New Hartford,NY,13413,43.09282,-75.30879
177,21085 Salmon Run Mall Loop W,Watertown,NY,13601,43.9789,-75.9515
178,3209 Vestal Pkwy E,Vestal,NY,13850,42.09699,-75.99727
179,3701 McKinley Pkwy,Buffalo,NY,14219,42.78535,-78.80852
180,4401 Transit Rd,Buffalo,NY,14221,42.96759,-78.69401
181,1 Galleria Dr,Cheektowaga,NY,14225,42.91436,-78.7611
182,4200 Genesee St,Cheektowaga,NY,14225,42.93233603,-78.72763909
183,1585 Niagara Falls Blvd,Amherst,NY,14228,42.99809,-78.81563
184,7550 Commons Blvd,Victor,NY,14564,43.03386,-77.44925
185,2345 Marketplace Dr,Rochester,NY,14623,43.07927,-77.63284
186,1200 Brooks Ave,Rochester,NY,14624,43.13076317,-77.66866542
187,2833 W Ridge Rd,Rochester,NY,14626,43.20895,-77.70661
188,40 Catherwood Rd,Ithaca,NY,14850,42.48215,-76.49118
189,950 County Road 64,Elmira,NY,14903,42.15318,-76.87142
190,111 MCMILLEN AVE,BEAVER FALLS,PA,15010,40.770754,-80.372858
191,5000 Alicia Dr,Bethel Park,PA,15102,40.34646,-80.04468
192,680 Waterfront Dr E,Munhall,PA,15120,40.41247,-79.90323
193,200 Mall Circle Dr,Monroeville,PA,15146,40.4312,-79.7999
194,3247 E CARSON ST,PITTSBURGH,PA,15203,40.423218,-79.959917
195,6513 STEUBENVILLE PIKE,PITTSBURGH,PA,15205,40.450157,-80.112765
196,1000 Airport Blvd,Pittsburgh,PA,15231,40.495866,-80.256136
197,1000 Airport Blvd,Pittsburgh,PA,15231,40.495866,-80.256136
198,473 Clairton Blvd,Pittsburgh,PA,15236,40.33486,-79.94469
199,4801 McKnight Rd,Pittsburgh,PA,15237,40.52348,-80.0068
200,430 Home Dr,Pittsburgh,PA,15275,40.45265,-80.18156
201,125 Donohoe Rd,Greensburg,PA,15601,40.30491,-79.50947
202,430 Town Centre Dr,Johnstown,PA,15904,40.27781,-78.84265
203,1000 Cranberry Square Dr,Cranberry Township,PA,16066,40.69121,-80.1047
204,6650 Peach St,Erie,PA,16509,42.05709,-80.0922
205,1721 Osgood Dr,Altoona,PA,16602,40.49181,-78.38342
206,1650 N Atherton St,State College,PA,16803,40.80682,-77.89483
207,6416 Carlisle Pike,Mechanicsburg,PA,17050,40.24764,-77.00646
208,1 Terminal Dr,Middletown,PA,17057,40.195738,-76.756521
209,5000 Jonestown Rd,Harrisburg,PA,17112,40.30798,-76.80582
210,2865 Concord Rd,York,PA,17402,39.98488,-76.67117
211,1700 Fruitville Pike,Lancaster,PA,17601,40.06723,-76.315747
212,115 Lycoming Mall Cir,Muncy,PA,17756,41.24541,-76.83197
213,110 Marketplace Blvd,Selinsgrove,PA,17870,40.84081,-76.8315
214,77 Sands Blvd,Bethlehem,PA,18015,40.613941,-75.358903
215,4413 Birkland Pl,Easton,PA,18045,40.65766,-75.2858
216,1504 Macarthur Rd,Whitehall,PA,18052,40.62845,-75.48551
217,300 Shoppes Stroud,Stroudsburg,PA,18360,40.98911,-75.23324
218,959 Viewmont Dr,Dickson City,PA,18519,41.4553,-75.65106
219,449 Arena Hub Plz,Wilkes Barre,PA,18702,41.23896,-75.84081
